Date,Interval,Calls,day_of_week,#_day_of_week,#_intervals,#_int_in_hour,Calls\hours,Month,Year,dataNorm,dataNorm2,first_diff,first_diff2
2017-02-09,4532,4137,Thursday,3,93,23.25,177,2,2017,0.9951888381044022,0.3308719382874462,0.0028866971373586736,0.06850768615604558
2017-02-10,4560,4785,Friday,4,96,24.0,199,2,2017,1.1510704835217704,0.9903840488104695,0.15588164541736826,0.6595121105230233
2017-02-11,4560,2850,Saturday,5,96,24.0,118,2,2017,0.6855905701226847,-0.8889828471039732,-0.4654799133990858,-1.8793668959144427
2017-02-12,4374,1831,Sunday,6,94,23.5,77,2,2017,0.4404618715419774,-1.8568937511802448,-0.24512869858070724,-0.9679109040762716
2017-02-13,4536,4618,Monday,0,93,23.25,198,2,2017,1.110897281693529,0.7784640019711951,0.6704354101515515,2.63535775315144
2017-02-14,4551,4669,Tuesday,1,94,23.5,198,2,2017,1.1231657445273033,0.7306612450150167,0.012268462833774363,-0.047802756956178416
2017-02-15,4527,4283,Wednesday,2,92,23.0,186,2,2017,1.030310319942266,0.3594184153368638,-0.09285542458503726,-0.3712428296781529
2017-02-16,4536,4438,Thursday,3,94,23.5,188,2,2017,1.0675968246331489,0.4528168205995511,0.037286504690882794,0.09339840526268728
2017-02-17,4560,4840,Friday,4,96,24.0,201,2,2017,1.1643011787346644,0.7956204588447913,0.09670435410151557,0.3428036382452402
2017-02-18,4560,2922,Saturday,5,96,24.0,121,2,2017,0.7029107529468367,-0.9041584320745281,-0.46139042578782774,-1.6997788909193194
2017-02-19,4469,1909,Sunday,6,95,23.75,80,2,2017,0.45922540293480874,-1.8507432372693435,-0.24368535001202796,-0.9465848051948155
2017-02-20,4549,4562,Monday,0,95,23.75,192,2,2017,1.0974260283858552,0.5600630663673865,0.6382006254510465,2.41080630363673
2017-02-21,4529,4056,Tuesday,1,91,22.75,178,2,2017,0.9757036324272311,0.18695820783159886,-0.12172239595862411,-0.37310485853578756
2017-02-22,4555,4100,Wednesday,2,95,23.75,172,2,2017,0.9862881885975463,0.2558135492790831,0.010584556170315174,0.06885534144748426
2017-02-23,4467,4000,Thursday,3,95,23.75,168,2,2017,0.9622323791195574,0.2264335957927602,-0.02405580947798891,-0.029379953486322913
2017-02-24,4536,4617,Friday,4,94,23.5,196,2,2017,1.110656723598749,0.8968511553284712,0.14842434447919162,0.6704175595357109
2017-02-25,4560,2743,Saturday,5,96,24.0,114,2,2017,0.6598508539812364,-0.9627828158501766,-0.45080586961751257,-1.8596339711786478
2017-02-26,4468,1675,Sunday,6,95,23.75,70,2,2017,0.40293480875631466,-1.858791283335902,-0.2569160452249218,-0.8960084674857254
2017-02-27,4434,4429,Monday,0,90,22.5,196,2,2017,1.0654318017801299,0.7247871847603214,0.6624969930238152,2.5835784680962233
2017-02-28,4451,4262,Tuesday,1,92,23.0,185,2,2017,1.0252585999518884,0.5318536549985674,-0.04017320182824147,-0.19293352976175404
2017-03-01,4555,4392,Wednesday,2,95,23.75,184,3,2017,1.056531152273274,0.6005012490200298,0.031272552321385705,0.06864759402146237
2017-03-02,4560,4145,Thursday,3,96,24.0,172,3,2017,0.9971133028626413,0.35490088554269966,-0.05941784941063277,-0.2456003634773301
2017-03-03,4539,4493,Friday,4,94,23.5,191,3,2017,1.0808275198460429,0.6946061115951979,0.08371421698340153,0.33970522605249825
2017-03-04,4560,2792,Saturday,5,96,24.0,116,3,2017,0.6716382006254511,-0.8746057225731325,-0.40918931922059176,-1.5692118341683305
2017-03-05,4465,1904,Sunday,6,95,23.75,80,3,2017,0.4580226124609093,-1.844677159780835,-0.2136155881645418,-0.9700714372077024
2017-03-06,4545,4440,Monday,0,92,23.0,193,3,2017,1.0680779408227088,0.654851583400228,0.6100553283617995,2.499528743181063
2017-03-07,4548,4351,Tuesday,1,95,23.75,183,3,2017,1.0466682703872985,0.5504804247293082,-0.02140967043541031,-0.10437115867091973
2017-03-08,4454,4493,Wednesday,2,94,23.5,191,3,2017,1.0808275198460429,0.6683188586904477,0.03415924945874438,0.11783843396113947
2017-03-09,4554,4261,Thursday,3,95,23.75,179,3,2017,1.0250180418571084,0.4247011912469384,-0.05580947798893443,-0.24361766744350932
2017-03-10,4560,4708,Friday,4,96,24.0,196,3,2017,1.132547510223719,0.8046711252162968,0.10752946836661059,0.3799699339693584
2017-03-11,4560,2876,Saturday,5,96,24.0,119,3,2017,0.6918450805869617,-0.9362796080360265,-0.4407024296367573,-1.7409507332523233
2017-03-12,4560,1809,Sunday,6,96,24.0,75,3,2017,0.4351695934568198,-1.8837148146749505,-0.2566754871301419,-0.947435206638924
2017-03-13,4194,4466,Monday,0,91,22.75,196,3,2017,1.0743324512869858,0.5658998192793994,0.639162857830166,2.44961463395435
2017-03-14,4550,4174,Tuesday,1,93,23.25,179,3,2017,1.004089487611258,0.323528615266971,-0.0702429636757278,-0.24237120401242834
2017-03-15,4518,4506,Wednesday,2,91,22.75,198,3,2017,1.0839547750781813,0.6302913103453538,0.07986528746692323,0.3067626950783828
2017-03-16,4455,4600,Thursday,3,94,23.5,195,3,2017,1.106567235987491,0.6544533823740695,0.022612460909309684,0.024162072028715675
2017-03-17,4560,4877,Friday,4,96,24.0,203,3,2017,1.1732018282415204,0.8654764427252053,0.06663459225402946,0.21102306035113583
2017-03-18,4560,3048,Saturday,5,96,24.0,127,3,2017,0.7332210728891028,-0.7956919267827812,-0.43998075535241765,-1.6611683695079864
2017-03-19,4560,1989,Sunday,6,96,24.0,82,3,2017,0.47847005051719993,-1.8758679096743553,-0.25475102237190284,-1.080175982891574
2017-03-20,4378,4800,Monday,0,93,23.25,206,3,2017,1.1546788549434688,0.7411394396501982,0.6762088044262689,2.6170073493245534
